Title,Artist,First Charted,Top position,Weeks on chart,Lyrics
Poor Little Fool,Ricky Nelson ,1958-08-09,1,11,
Patricia,Perez Prado And His Orchestra ,1958-08-09,2,14,
Splish Splash,Bobby Darin ,1958-08-09,3,8,
Hard Headed Woman,Elvis Presley With The Jordanaires ,1958-08-09,4,8,
When,Kalin Twins ,1958-08-09,5,9,
Rebel-'Rouser,Duane Eddy His Twangy Guitar And The Rebels ,1958-08-09,6,8,
Yakety Yak,The Coasters ,1958-08-09,7,7,
My True Love,Jack Scott ,1958-08-09,3,14,
Willie And The Hand Jive,The Johnny Otis Show ,1958-08-09,9,10,
Fever,Peggy Lee ,1958-08-09,8,12,
Ginger Bread,Frankie Avalon ,1958-08-09,9,11,
Just A Dream,Jimmy Clanton And His Rockets ,1958-08-09,4,15,
Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page ,1958-08-09,13,7,
If Dreams Came True,Pat Boone ,1958-08-09,12,10,
For Your Precious Love,Jerry Butler and The Impressions ,1958-08-09,15,5,
One Summer Night,The Danleers ,1958-08-09,16,8,
Endless Sleep,Jody Reynolds ,1958-08-09,17,6,
Little Star,The Elegants ,1958-08-09,1,17,
Everybody Loves A Lover,Doris Day ,1958-08-09,14,12,
Do You Want To Dance,Bobby Freeman ,1958-08-09,20,5,
Guess Things Happen That Way,Johnny Cash And The Tennessee Two ,1958-08-09,21,7,
A Certain Smile,Johnny Mathis ,1958-08-09,22,9,
Western Movies,The Olympics ,1958-08-09,8,12,
The Purple People Eater,Sheb Wooley ,1958-08-09,24,4,
What Am I Living For,Chuck Willis ,1958-08-09,25,7,
Born Too Late,Poni-Tails ,1958-08-09,7,14,
Think It Over,The Crickets ,1958-08-09,27,7,
Secretly,Jimmie Rodgers ,1958-08-09,28,3,
Enchanted Island,The Four Lads ,1958-08-09,29,7,
Angel Baby,Dean Martin ,1958-08-09,30,6,
Chantilly Lace,Big Bopper ,1958-08-09,6,25,
Blue Blue Day,Don Gibson ,1958-08-09,32,8,
The Freeze,Tony And Joe ,1958-08-09,33,6,
Don't Ask Me Why,Elvis Presley With The Jordanaires ,1958-08-09,34,5,
Rock-in Robin,Bobby Day ,1958-08-09,2,21,
"No Chemise, Please",Gerry Granahan ,1958-08-09,36,3,
Moon Talk,Perry Como ,1958-08-09,29,9,
Somebody Touched Me,Buddy Knox with the Rhythm Orchids ,1958-08-09,22,14,
That's How Much I Love You,Pat Boone ,1958-08-09,39,6,
Crazy Eyes For You,Bobby Hamilton ,1958-08-09,40,3,
Early In The Morning,Buddy Holly ,1958-08-09,32,7,
You Cheated,The Slades ,1958-08-09,42,12,
Come What May,Clyde McPhatter ,1958-08-09,43,3,
Jennie Lee,Jan & Arnie ,1958-08-09,44,2,
Kathy-O,The Diamonds ,1958-08-09,45,7,
(It's Been A Long Time) Pretty Baby,Gino & Gina ,1958-08-09,46,1,
I Wonder Why,Dion & The Belmonts ,1958-08-09,47,2,
Return To Me,Dean Martin ,1958-08-09,48,4,
All I Have To Do Is Dream,The Everly Brothers ,1958-08-09,49,4,
By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids ,1958-08-09,50,8,
"Baubles, Bangles And Beads",The Kirby Stone Four ,1958-08-09,51,3,
Early In The Morning,The Rinky-Dinks ,1958-08-09,24,9,
Come Closer To Me (Acercate Mas),Nat King Cole ,1958-08-09,41,9,
